"datetime","NO","NOy","qc_flag_NO","qc_flag_NOy"
"2025-12-09 13:00:00",0.9199,2.51135,"1b","1b"
"2025-12-09 14:00:00",0.851683333333333,2.49598333333333,"1b","1b"
"2025-12-09 15:00:00",0.992733333333333,3.42181666666667,"1b","1b"
"2025-12-09 16:00:00",1.02496666666667,4.02105,"1b","1b"
"2025-12-09 17:00:00",0.89785,2.50868333333333,"1b","1b"
"2025-12-09 18:00:00",1.02483333333333,2.90445,"1b","1b"
"2025-12-09 19:00:00",0.46445,1.78981666666667,"1b","1b"
"2025-12-09 20:00:00",0.4831,1.7853,"1b","1b"
"2025-12-09 21:00:00",0.39515,1.82526666666667,"1b","1b"
"2025-12-09 22:00:00",0.44435,2.4416,"1b","1b"
"2025-12-09 23:00:00",0.56705,2.70193333333333,"1b","1b"
"2025-12-10 00:00:00",0.551783333333333,2.52701666666667,"1b","1b"
"2025-12-10 01:00:00",0.529483333333333,2.47948333333333,"1b","1b"
"2025-12-10 02:00:00",0.4508,1.74161666666667,"1b","1b"
"2025-12-10 03:00:00",0.557816666666667,2.31415,"1b","1b"
"2025-12-10 04:00:00",0.625266666666667,2.68581666666667,"1b","1b"
"2025-12-10 05:00:00",0.499183333333333,2.44391666666667,"1b","1b"
"2025-12-10 06:00:00",1.47366666666667,4.43568333333333,"1b","1b"
"2025-12-10 07:00:00",1.3553,6.41421666666667,"1b","1b"
"2025-12-10 08:00:00",1.65111666666667,8.8224,"1b","1b"
"2025-12-10 09:00:00",1.31816666666667,5.97238333333333,"1b","1b"
"2025-12-10 10:00:00",1.42628333333333,4.42078333333333,"1b","1b"
"2025-12-10 11:00:00",1.486,3.93173333333333,"1b","1b"
"2025-12-10 12:00:00",1.03248333333333,2.6739,"1b","1b"
"2025-12-10 13:00:00",1.26751666666667,4.1186,"1b","1b"
"2025-12-10 14:00:00",1.19328333333333,4.39153333333333,"1b","1b"
"2025-12-10 15:00:00",0.862166666666667,5.37838333333333,"1b","1b"
"2025-12-10 16:00:00",0.957033333333333,7.2587,"1b","1b"
"2025-12-10 17:00:00",1.45295,7.18325,"1b","1b"
"2025-12-10 18:00:00",1.70106666666667,8.55791666666667,"1b","1b"
"2025-12-10 19:00:00",0.543533333333333,6.51796666666667,"1b","1b"
"2025-12-10 20:00:00",0.579533333333333,6.92691666666667,"1b","1b"
"2025-12-10 21:00:00",0.5594,4.41321666666667,"1b","1b"
"2025-12-10 22:00:00",0.707466666666667,4.11446666666667,"1b","1b"
"2025-12-10 23:00:00",0.68895,3.95263333333333,"1b","1b"
"2025-12-11 00:00:00",0.624516666666667,3.28378333333333,"1b","1b"
"2025-12-11 01:00:00",0.669266666666667,3.1383,"1b","1b"
"2025-12-11 02:00:00",0.56315,1.3824,"1b","1b"
"2025-12-11 03:00:00",0.5641,3.5935,"1b","1b"
"2025-12-11 04:00:00",0.717716666666667,4.108,"1b","1b"
"2025-12-11 05:00:00",0.634166666666667,3.28436666666667,"1b","1b"
"2025-12-11 06:00:00",1.85195,6.06676666666667,"1b","1b"
"2025-12-11 07:00:00",1.48073333333333,6.29305,"1b","1b"
"2025-12-11 08:00:00",1.60703333333333,6.4021,"1b","1b"
"2025-12-11 09:00:00",2.05431666666667,7.96735,"1b","1b"
"2025-12-11 10:00:00",1.92666666666667,6.51635,"1b","1b"
"2025-12-11 11:00:00",1.80005,5.85001666666667,"1b","1b"
"2025-12-11 12:00:00",1.73128333333333,4.78125,"1b","1b"
"2025-12-11 13:00:00",1.49196666666667,4.06306666666667,"1b","1b"
"2025-12-11 14:00:00",1.22966666666667,4.23448333333333,"1b","1b"
