"datetime","NH3","qc_flag_NH3"
"2022-09-22 04:00:00",2.92245326435314,"1b"
"2022-09-22 05:00:00",3.04065725781182,"1b"
"2022-09-22 06:00:00",3.16760616473202,"1b"
"2022-09-22 07:00:00",3.44556873830142,"1b"
"2022-09-22 08:00:00",3.79013329081576,"1b"
"2022-09-22 09:00:00",4.05149337926728,"1b"
"2022-09-22 10:00:00",3.90233028809326,"1b"
"2022-09-22 11:00:00",3.54619788454495,"1b"
"2022-09-22 12:00:00",3.35508006283652,"1b"
"2022-09-22 13:00:00",3.20771300013877,"1b"
"2022-09-22 14:00:00",3.26438577330744,"1b"
"2022-09-22 15:00:00",3.42160927246739,"1b"
"2022-09-22 16:00:00",3.47755155541366,"1b"
"2022-09-22 17:00:00",3.37618871739734,"1b"
"2022-09-22 18:00:00",3.22766885452526,"1b"
"2022-09-22 19:00:00",3.12805547730075,"1b"
"2022-09-22 20:00:00",3.08297551554722,"1b"
"2022-09-22 21:00:00",2.9632034305193,"1b"
"2022-09-22 22:00:00",2.76646478058644,"1b"
"2022-09-22 23:00:00",2.5778327732443,"1b"
"2022-09-23 00:00:00",2.54390599244853,"1b"
"2022-09-23 01:00:00",2.44750017754809,"1b"
"2022-09-23 02:00:00",2.38462063987305,"1b"
"2022-09-23 03:00:00",2.33031245399246,"1b"
"2022-09-23 04:00:00",2.25014325758236,"1b"
"2022-09-23 05:00:00",2.07470492752592,"1b"
"2022-09-23 06:00:00",1.99765085664693,"1b"
"2022-09-23 07:00:00",1.90254227102235,"1b"
"2022-09-23 08:00:00",1.85815842730745,"1b"
"2022-09-23 09:00:00",1.89320567927103,"1b"
"2022-09-23 10:00:00",2.04144103729142,"1b"
"2022-09-23 11:00:00",2.18575352254087,"1b"
"2022-09-23 12:00:00",2.48548771766936,"1b"
"2022-09-23 13:00:00",2.90417283047222,"1b"
"2022-09-23 14:00:00",3.35766001520955,"1b"
"2022-09-23 15:00:00",3.77771324199278,"1b"
"2022-09-23 16:00:00",3.73092917624202,"1b"
"2022-09-23 17:00:00",3.53389462936442,"1b"
"2022-09-23 18:00:00",3.37623886625035,"1b"
"2022-09-23 19:00:00",3.24098664167638,"1b"
"2022-09-23 20:00:00",3.11885520074958,"1b"
"2022-09-23 21:00:00",2.94740272990833,"1b"
"2022-09-23 22:00:00",2.71227432657421,"1b"
"2022-09-23 23:00:00",2.51449794300334,"1b"
"2022-09-24 00:00:00",2.45843531884038,"1b"
"2022-09-24 01:00:00",2.3564215946828,"1b"
"2022-09-24 02:00:00",2.27311569172648,"1b"
"2022-09-24 03:00:00",2.11218925995411,"1b"
"2022-09-24 04:00:00",1.95652320527699,"1b"
"2022-09-24 05:00:00",1.84071846494475,"1b"
"2022-09-24 06:00:00",1.87565922608204,"1b"
"2022-09-24 07:00:00",1.99603169525583,"1b"
"2022-09-24 08:00:00",2.25228350703708,"1b"
"2022-09-24 09:00:00",2.83245124308717,"1b"
"2022-09-24 10:00:00",3.09782858680556,"1b"
"2022-09-24 11:00:00",3.39950393851276,"1b"
"2022-09-24 12:00:00",3.6703341585068,"1b"
"2022-09-24 13:00:00",3.75864964690536,"1b"
"2022-09-24 14:00:00",3.57459733826304,"1b"
"2022-09-24 15:00:00",3.21626585319128,"1b"
"2022-09-24 16:00:00",3.09515200569248,"1b"
"2022-09-24 17:00:00",3.16831704723564,"1b"
"2022-09-24 18:00:00",3.01153845299333,"1b"
"2022-09-24 19:00:00",2.73201671928532,"1b"
"2022-09-24 20:00:00",2.5398220353859,"1b"
"2022-09-24 21:00:00",2.44956209001673,"1b"
"2022-09-24 22:00:00",2.33403102219955,"1b"
"2022-09-24 23:00:00",2.16174119254097,"1b"
"2022-09-25 00:00:00",2.02233440118192,"1b"
"2022-09-25 01:00:00",1.97818741894903,"1b"
"2022-09-25 02:00:00",1.91622043219256,"1b"
"2022-09-25 03:00:00",1.84654860340091,"1b"
"2022-09-25 04:00:00",1.76779696600487,"1b"
"2022-09-25 05:00:00",1.68746899302783,"1b"
"2022-09-25 06:00:00",1.59559520180556,"1b"
"2022-09-25 07:00:00",1.59783836954608,"1b"
"2022-09-25 08:00:00",1.65836474238704,"1b"
"2022-09-25 09:00:00",1.72856847472957,"1b"
"2022-09-25 10:00:00",2.0849728642807,"1b"
"2022-09-25 11:00:00",2.60133018945637,"1b"
"2022-09-25 12:00:00",2.71264325929397,"1b"
