"datetime","BC_370_nm","BC_470_nm","BC_520_nm","BC_590_nm","BC_660_nm","BC_880_nm","BC_950_nm","qc_flag_BC_370_nm","qc_flag_BC_470_nm","qc_flag_BC_520_nm","qc_flag_BC_590_nm","qc_flag_BC_660_nm","qc_flag_BC_880_nm","qc_flag_BC_950_nm"
2021-10-14 13:00:00,0.691033333333333,0.645766666666667,0.592583333333333,0.573816666666667,0.547283333333333,0.515483333333333,0.519766666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 14:00:00,0.864466666666667,0.86755,0.81395,0.7978,0.766366666666667,0.735666666666667,0.741166666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 15:00:00,0.83185,0.81975,0.762716666666667,0.7432,0.709033333333333,0.682633333333333,0.686266666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 16:00:00,1.0988,1.10278333333333,1.03501666666667,1.01571666666667,0.97375,0.949416666666667,0.9557,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 17:00:00,0.83245,0.81685,0.764533333333333,0.74505,0.7082,0.680583333333333,0.683983333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 18:00:00,0.750566666666667,0.7498,0.7063,0.692033333333333,0.65985,0.6407,0.6457,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 19:00:00,0.653333333333333,0.63905,0.600666666666667,0.5866,0.555716666666667,0.536216666666667,0.537716666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 20:00:00,0.57485,0.573033333333333,0.540316666666667,0.5277,0.500883333333333,0.4875,0.48975,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 21:00:00,0.436666666666667,0.427466666666667,0.402766666666667,0.391916666666667,0.368333333333333,0.357416666666667,0.357966666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 22:00:00,0.4709,0.451566666666667,0.425583333333333,0.416533333333333,0.392966666666667,0.3814,0.38115,"1b","1b","1b","1b","1b","1b","1b"
2021-10-14 23:00:00,0.330316666666667,0.3187,0.300116666666667,0.292733333333333,0.274683333333333,0.2668,0.266916666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15,0.288766666666667,0.283133333333333,0.268016666666667,0.261983333333333,0.2475,0.241616666666667,0.24085,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 01:00:00,0.236433333333333,0.23375,0.222233333333333,0.218266666666667,0.205783333333333,0.198683333333333,0.199733333333333,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 02:00:00,0.232316666666667,0.230316666666667,0.218883333333333,0.215166666666667,0.204216666666667,0.19635,0.196616666666667,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 03:00:00,0.1965,0.198116666666667,0.1906,0.187733333333333,0.1767,0.17185,0.176084745762712,"1b","1b","1b","1b","1b","1b","1b"
2021-10-15 04:00:00,0.133866666666667,0.14055,0.133483333333333,0.132133333333333,0.126983333333333,0.12685,0.128566666666667,"1b","1b","1b","1b","1b","1b","1b"
